TOT_POP,MEDHHINC_2018,Total Hospitals (2019),Obesity_prevalence,diabetes_prevalence,Child_Poverty_Index
153337.625,81540.125,2.9057676592500004,30.6,10.4,7.550000000000001
30267.0,42532.0,0.514135873,37.2,16.0,24.950000000000003
10783.0,52814.0,0.121531613,30.2,16.0,24.1
13442.0,35317.0,0.315864598,41.3,17.0,35.2
153337.625,46633.0,1.650171114,36.4,14.2,30.6
6544.0,64456.0,0.315452286,36.8,10.6,11.899999999999999
143277.0,51771.0,2.9057676592500004,36.1,13.0,25.95
17307.0,77032.0,0.195061452,31.7,10.5,10.75
31833.0,44297.0,1.055226969,40.8,13.8,26.0
9038.0,49399.0,0.101864298,37.0,14.8,21.65
8940.0,59219.0,0.430951014,38.3,10.5,10.7
153337.625,64170.0,2.9057676592500004,34.4,10.3,11.55
8074.0,43245.0,0.235750915,34.6,15.1,23.85
36506.0,50956.0,0.56724135,35.3,12.0,19.7
7979.0,47658.0,0.187493202,37.0,15.1,23.25
40439.0,63241.0,0.686924392,33.3,11.9,12.65
7711.0,55345.0,0.368135724,36.0,11.0,11.65
19215.0,37392.0,0.451520476,38.1,15.3,34.3
40878.0,42475.0,0.694381544,35.3,15.3,33.4
129641.0,49522.0,2.557221157,40.3,14.6,23.0
40770.0,39037.0,0.415369501,39.5,16.8,26.0
35108.0,54332.0,0.639731836,37.6,14.0,18.8
823.0,41413.0,0.014996562,38.8,19.5,22.3
10138.0,29267.0,0.209485479,45.8,20.6,43.074999999999996
153337.625,64644.0,2.9057676592500004,36.3,12.0,13.55
12726.0,31182.0,0.299039791,42.3,17.6,42.77499999999999
28223.0,45023.0,0.824077045,35.0,13.9,24.55
23920.0,40741.0,0.494268363,40.5,19.1,31.549999999999997
32955.0,55583.0,0.454250331,30.0,11.4,18.1
27109.0,41864.0,0.292403613,32.7,13.6,24.75
51843.0,53992.0,1.643480894,32.1,12.7,17.6
9280.0,60608.0,0.447340649,33.2,9.8,7.8
24922.0,47319.0,0.280887589,30.4,11.6,19.25
28294.0,59524.0,1.828036748,28.7,8.5,10.85
18634.0,66901.0,0.256850271,33.5,12.1,14.0
35774.0,36192.0,0.607681525,39.5,17.0,35.7
153337.625,56381.0,2.9057676592500004,35.2,12.6,16.3
153337.625,81540.125,2.9057676592500004,16.8,8.8,11.0
104143.0,63274.0,1.528500017,31.8,8.5,12.649999999999999
88571.0,52506.0,1.763771592,34.2,12.4,21.45
57078.0,42542.0,0.774642726,38.6,14.0,22.700000000000003
6889.0,38242.0,0.107648865,27.0,13.5,34.849999999999994
17335.0,39574.0,0.294464115,42.2,19.0,29.05
22663.0,60908.0,0.53254273,40.4,13.3,14.25
7051.0,27767.0,0.233732459,45.4,22.4,43.074999999999996
16558.0,38879.0,0.281265463,37.7,14.4,26.35
153337.625,49082.0,2.9057676592500004,34.6,14.4,23.95
71385.0,39491.0,1.475056318,35.4,15.6,29.6
21780.0,50671.0,1.039812743,38.7,13.5,17.9
65767.0,42821.0,1.0914805,39.6,14.3,25.55
21012.0,43591.0,0.226640035,38.5,16.3,33.15
54973.0,51525.0,0.619582433,38.4,13.0,15.950000000000001
5239.0,51911.0,0.252545007,35.2,11.1,12.85
8515.0,51674.0,0.200088309,38.9,15.1,20.450000000000003
33683.0,51868.0,0.572162375,39.9,13.5,19.049999999999997
1747.0,44659.0,0.092094078,29.4,11.3,9.55
14462.0,51859.0,0.24566138,36.8,13.9,20.95
5121.0,36908.0,0.057717091,42.3,20.3,34.7
95380.0,58035.0,1.294464123,35.3,13.1,19.2
19404.0,45661.0,0.455961661,39.1,15.6,21.8
8021.0,52086.0,0.386650792,35.6,12.4,18.299999999999997
55922.0,81540.125,1.265704409,28.2,9.0,6.95
153337.625,81540.125,2.9057676592500004,28.0,8.2,6.050000000000001
8233.0,28524.0,0.170121716,45.6,25.6,43.074999999999996
153337.625,52557.0,2.9057676592500004,34.0,12.0,20.4
40003.0,65635.0,0.450860533,32.4,10.9,13.350000000000001
23428.0,66607.0,0.341017865,31.3,11.0,14.05
153337.625,53469.0,2.9057676592500004,34.7,11.9,22.0
4321.0,53188.0,0.09885375,36.8,12.3,17.95
153337.625,61053.0,2.9057676592500004,33.2,11.0,14.75
44732.0,43079.0,0.890777239,33.8,10.8,21.1
7106.0,28024.0,0.235555645,49.9,24.0,43.074999999999996
2283.0,58715.0,0.117142079,35.0,13.0,13.149999999999999
2607.0,51559.0,0.124462434,39.8,13.0,19.35
23974.0,37370.0,0.700011447,38.5,14.5,34.2
14190.0,33160.0,0.258567698,44.2,20.0,43.074999999999996
6549.0,30691.0,0.111245774,38.0,16.5,40.35
55808.0,59732.0,0.809240204,32.0,12.4,17.6
21303.0,67897.0,1.026907096,36.5,10.2,7.7
153337.625,81540.125,2.9057676592500004,23.9,9.7,12.350000000000001
23933.0,49073.0,0.269740898,35.8,13.6,18.6
