MEDHHINC_2018,Obesity_prevalence,diabetes_prevalence,Percent_Pop_Aged_60_plus,Percent_Higher_Education,Child_Poverty_Index
49200.0,34.8,11.4,30.869805414032285,36.345221287827634,18.75
45817.0,36.4,13.1,33.88307771289226,34.768658153115574,17.75
56800.0,35.1,12.1,25.480850109347834,40.13906801996299,17.2
37002.0,42.7,18.2,12.023864157870582,28.178063331803582,34.95
57709.0,38.0,11.6,25.17400523886741,35.576899089434946,12.0
40866.0,36.8,14.3,31.97393315114568,34.01303342442716,22.2
48763.0,35.0,13.1,16.104803793406187,25.276638310569034,28.200000000000003
97525.0,26.5,8.1,21.108854948353493,54.46278802860422,5.5
44183.0,44.6,16.3,23.330372284583703,23.2496164095938,32.6
42720.0,39.7,15.1,24.422469160974618,31.2121521052095,21.450000000000003
55174.0,33.8,11.1,27.06611255727573,40.84882251754426,15.100000000000001
88709.0,27.1,9.0,28.08608204964286,49.71416628760404,7.699999999999999
53360.0,37.0,12.9,22.142538837014083,31.65514596913766,20.05
47284.0,39.8,15.5,26.711791249754757,25.814204433980777,23.15
66502.0,34.1,12.2,24.737734021949645,34.768398967075534,11.45
25973.0,45.6,18.1,13.113948919449903,20.38310412573674,50.849999999999994
68483.0,27.3,11.3,29.232561734294464,39.18118643532546,15.700000000000001
36032.0,39.3,16.9,33.86502360935161,29.54623977887827,33.45
89964.0,36.2,10.8,18.804587090818718,39.10477171057303,10.3
48018.0,36.4,14.4,26.603737237526488,36.77518782508187,20.4
48448.0,34.7,12.7,32.97518908602531,33.32155227256662,22.299999999999997
42153.0,40.8,19.8,22.850678733031675,11.76470588235294,18.0
42624.0,35.9,13.7,22.125305126118796,32.45565500406835,28.6
41873.0,34.9,12.4,22.88744090967165,34.782164303053534,22.65
61342.0,39.2,11.3,27.1193391528502,33.42902337571035,11.7
51258.0,34.0,11.9,27.59442084720468,39.28366433245322,19.45
50637.0,35.6,10.0,26.39557489353823,44.503332716163676,13.600000000000001
37834.0,43.0,18.0,24.51625693893735,22.644726407613007,28.15
63790.0,36.4,11.9,25.607514804982646,36.0424749846845,12.5
41295.0,35.5,13.7,37.48946925021062,40.35383319292334,20.0
40691.0,43.8,15.6,27.733399900149774,27.08437343984024,24.6
74351.0,27.0,9.8,25.775481036444965,46.15832517269672,8.8
75629.0,28.8,8.9,17.631599879098328,36.36213232369832,12.85
53785.0,38.3,13.7,15.997207353967886,25.26879218059111,16.6
49265.0,32.6,13.9,38.35952053130315,47.055965011743744,19.8
28298.0,41.5,23.0,32.06497877945266,26.415922727937946,45.0
33393.0,42.5,19.3,21.898614609571787,26.19647355163728,39.5
75421.0,32.6,8.0,21.221948067207144,38.15062859828458,6.449999999999999
48409.0,33.1,12.2,18.30852545905915,37.55350016235977,23.65
54292.0,34.1,11.1,15.443901451459613,37.61591713014773,18.9
52642.0,34.6,11.6,26.302473567191953,41.06720937850666,21.45
53377.0,33.8,14.9,31.142410502977008,36.01243118009018,18.35
51939.0,36.3,10.8,29.55893732267217,44.73937205430628,12.8
46049.0,40.8,15.5,23.67896742896743,38.26446638946639,30.65
51656.0,36.8,11.7,16.43849391619141,24.431483529901886,17.299999999999997
68724.0,35.6,11.5,22.457051774012633,36.15915933644253,9.8
72111.0,34.8,11.7,21.944117703773696,35.77392545170559,10.95
34024.0,46.8,18.4,16.854741896758703,27.13085234093637,39.05
51280.0,35.4,11.3,29.00500625782228,40.096996245306634,14.05
66056.0,35.3,13.0,21.717713013726865,35.57030380477349,13.0
53419.0,30.3,10.5,24.15121795810121,46.920877928653226,19.65
51241.0,34.8,15.9,24.686609686609685,26.652421652421655,23.3
60627.0,31.3,11.1,22.26809295262887,40.62372895143578,16.75
71374.0,32.3,10.5,23.37500238199592,39.16763534500829,10.45
44475.0,38.0,14.0,26.485136147889083,38.63102672995253,21.6
