TOT_POP,White-alone pop,MEDHHINC_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Hospitals (2019),Population Aged 60+,COUNTY_NAME,STATE_NAME,Obesity_prevalence,diabetes_prevalence,Percent_Pop_Aged_60_plus,Racial_Diversity_Index,Percent_Higher_Education,Minority_Population,Child_Poverty_Index
20015,17984,44475,227.6,0.955548763,5088,9,16,38.0,14.0,26.485136147889083,1,38.63102672995253,2031,21.6
27811,22899,47858,206.7,0.881639703,6609,1328,36,35.3,13.6,24.71683866096149,3,27.143935852720148,4912,18.9
5802,5580,56451,227.6,0.276996948,1490,665,16,38.0,12.4,27.99034815580834,1,40.761806273698724,222,12.7
8276,7975,59938,302.7,0.187313932,2671,407,23,37.8,11.3,33.47027549540841,1,38.61768970517158,301,11.15
50574,20239,36760,255.0,0.545502243,13866,1215,33,42.0,19.3,28.089532170680588,2,28.542334005615533,30335,32.45
77516,70096,53917,303.4,1.128322555,15752,1370,37,34.6,12.4,21.54006914701481,1,34.725734042004234,7420,20.65
28494,27601,67269,302.7,0.644915801,6343,919,23,33.2,9.7,24.34547624061206,1,38.839755738050115,893,8.05
81352,68980,70807,227.6,3.883877239,15061,654,16,35.7,11.2,20.582161471137773,2,42.03338578031271,12372,11.899999999999999
73139,60060,73703,255.0,0.788893276,20511,357,33,31.9,12.8,31.75050246790358,2,46.65773390393634,13079,13.649999999999999
15126,14776,32228,230.9,0.355435791,3700,721,17,44.3,18.8,25.97514213936269,1,28.798095993653313,350,38.55
10880,10572,48998,230.9,0.255661867,2733,559,17,38.3,15.4,26.167279411764703,1,22.095588235294116,308,20.799999999999997
8424,8168,62792,240.4,0.54426315,2273,434,41,33.5,10.7,27.77777777777778,1,41.40550807217474,256,10.75
127753,104707,46843,207.6,3.730231185,26807,157,3,37.6,13.8,22.234311523017073,2,33.82934255947023,23046,21.9
13632,11442,76224,237.6,0.699465975,1663,1268,34,36.1,8.9,14.12118544600939,2,35.115903755868544,2190,9.9
10808,10540,60572,284.4,0.158628311,2730,493,13,32.9,11.7,27.43338267949667,1,34.97409326424871,268,14.649999999999999
